Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-09-19,LTCUSD,77.56,77.71,72.67,77.04,37886.5,2859915.22
2019-09-18,LTCUSD,74.16,80.18,74.14,77.56,26109.3,2024793.32
2019-09-17,LTCUSD,72.69,77.82,72.25,74.16,23559.82,1751951.94
2019-09-16,LTCUSD,70.17,73.87,69.47,72.69,18212.37,1302773.26
2019-09-15,LTCUSD,70.75,71.47,69.78,70.17,5134.99,361619.09
2019-09-14,LTCUSD,68.97,71.49,68.28,70.75,7671.34,535922.11
2019-09-13,LTCUSD,69.17,69.64,67.5,68.97,10745.92,737322.73
2019-09-12,LTCUSD,69.74,69.94,68.39,69.17,6190.12,427375.3
2019-09-11,LTCUSD,70.76,71.41,68.18,69.74,12244.67,855246.02
2019-09-10,LTCUSD,70.1,73.1,69.84,70.76,17334.44,1232850.78
2019-09-09,LTCUSD,70.48,71.33,67.87,70.1,13386.81,931594.04
2019-09-08,LTCUSD,68.82,71.58,68.12,70.48,16238.61,1136398.04
2019-09-07,LTCUSD,65.14,70.51,64.67,68.82,19516.39,1329852.52
2019-09-06,LTCUSD,65.39,68.14,64.1,65.14,24619.3,1629173.42
2019-09-05,LTCUSD,67.16,67.4,64.31,65.39,14923.26,977380.17
2019-09-04,LTCUSD,69.07,69.27,66.67,67.16,13501.63,915297.18
2019-09-03,LTCUSD,67.29,70.94,66.71,69.07,21734.04,1493214.0
2019-09-02,LTCUSD,66.11,68.09,65.07,67.29,17290.91,1145255.72
2019-09-01,LTCUSD,64.29,67.2,64.01,66.11,13814.44,903597.42
2019-08-31,LTCUSD,64.16,65.36,62.43,64.29,12928.72,823109.11
2019-08-30,LTCUSD,63.45,65.57,62.16,64.16,19913.47,1270770.32
2019-08-29,LTCUSD,66.77,66.77,62.12,63.45,37953.35,2445261.5
2019-08-28,LTCUSD,72.8,73.04,64.52,66.77,48286.78,3271738.24
2019-08-27,LTCUSD,73.63,73.63,72.01,72.8,10766.39,783173.22
2019-08-26,LTCUSD,72.33,75.47,72.22,73.63,19868.42,1471776.35
2019-08-25,LTCUSD,73.27,74.95,70.66,72.33,18146.98,1319885.29
2019-08-24,LTCUSD,75.53,75.56,71.67,73.27,15688.45,1147400.52
2019-08-23,LTCUSD,73.62,76.03,72.53,75.53,10636.62,792528.08
2019-08-22,LTCUSD,72.94,74.63,70.93,73.62,17342.49,1265268.49
2019-08-21,LTCUSD,75,75.33,70.04,72.94,28586.44,2069149.95
2019-08-20,LTCUSD,77.12,77.2,73.3,75,19199.25,1449140.08
2019-08-19,LTCUSD,76.31,78.91,75.61,77.12,19160.19,1474804.33
2019-08-18,LTCUSD,72.69,78.09,71.51,76.31,24251.02,1829171.12
2019-08-17,LTCUSD,74.83,75.45,71.7,72.69,16924.21,1243982.22
2019-08-16,LTCUSD,76.26,76.28,72.23,74.83,29572.06,2207760.2
2019-08-15,LTCUSD,75.56,77.56,71,76.26,46997.58,3507514.94
2019-08-14,LTCUSD,84.3,85.87,74.81,75.56,37016.45,2933777.84
2019-08-13,LTCUSD,85.58,86.46,83.07,84.3,19627.39,1660150.65
2019-08-12,LTCUSD,89.87,89.9,85.34,85.58,18753.8,1627638.1
2019-08-11,LTCUSD,85.18,91.24,85.18,89.87,19662.21,1735419.37
2019-08-10,LTCUSD,84.29,87.23,82,85.18,34744.8,2950715.17
2019-08-09,LTCUSD,90.12,90.32,82.47,84.29,31209.62,2669498.42
2019-08-08,LTCUSD,90.32,92.59,87.86,90.12,24134.44,2167617.11
2019-08-07,LTCUSD,93.04,94.35,87,90.32,36322.1,3298649.82
2019-08-06,LTCUSD,96.21,99.03,90.69,93.04,40222.3,3810508.25
2019-08-05,LTCUSD,92.91,106.93,92.91,96.21,72840.58,7219006.83
