date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-04-09,36102,1395,15781812,11313.1268817204,0.48385858,21406365.43574963736851509176,44240954.59268647634500350204,21201.1043156725,2.0533482990344,0.0004234386777615284834161579968,1,0.000206218632250872,27219.185052,5.613103112406820256365344,13950000,4.90514713445845,2876.7499198996644,13950000,2876.7499198996644,38.97257274,28.99567768327304,4.924522501461145E-7,0.000206218632250872,82.08605711400125,-14.495230643735383,103804225651.67663255,13256,45162,2663519966.89876194,549267.4445467505508962922854,428372.166460313,88.33832226178861129604764294,71.020000005,0.01464564726348802260125436,19346143781.68065322,3989535.309986896750692583875,0.06479312975452829,0.04456280562623234,0.03982518155276478
2016-04-10,53920,1390,12967126,9328.86762589928,0.48255465,21339079.59808459177007345678,44221063.4272333407470627322,21231.8620687802,1.95801145165756,0.0004024553704722665041388530228,1,0.000205542909430671,30086.80396617,6.18412922267683333944440007,13900000,4.88691157555883,2857.0464410863269,13900000,2857.0464410863269,73.34828536,29.167200025556415,4.871210403272943E-7,0.000205542909430671,77.05541388297891,-14.991557121066348,103818125651.67663253,15366,68616,1415413122.97563041,290928.1313427631956653004143,302942.190961112,62.26761931944888267822106615,60.74,0.01248467631881895654,20786681374.98763192,4272554.967223298558305353707,0.06479471387344068,0.044540521219220544,0.039703727289026276
2016-04-11,44968,1380,15698975,11376.0688405797,0.50004748,22117106.94226362845052172254,44230014.15183414190007757563,20943.9071109324,2.1204331007937,0.0004516707685023334497019265943,1,0.000213008733137239,34864.16104325,7.42637077571536329966458675,13799999.9999999,4.85110910578458,2939.520517293876899126686276,13799999.9999999,2939.520517293876899126686276,32.26671107,30.241786972617447,5.032419053185281E-7,0.000213008733137239,87.34236838500841,-10.101929757525278,103831925651.67663246,16442,63632,3217927151.33587998,685446.5858339801563020501726,708024.204096675,150.8153387451346850087985803,19.3555,0.0041228905342378294645,45052996155.07960953,9596681.635030407279446996022,0.06483999929939013,0.04506553523317002,0.039893002087443515
2016-04-12,41324,1381,15597876,11294.6241853729,0.54625638,24183322.89586709434860296754,44271012.08283005225116141151,21557.2924515523,2.07774887934899,0.0004838607163837966444718346396,1,0.000232877380511644,29011.60760235,6.7561471828669648030967634,13810000,4.8539788065131,3216.03662486580364,13810000,3216.03662486580364,58.49631971,33.29533436279523,5.44834599649327E-7,0.000232877380511644,116.19923190580491,-2.8791024113361625,103845735651.67663247,13963,58292,1775252463.05245163,413416.1433424990093771379618,1058804.8333974,246.5716960746541509907793256,14.2375,0.00331559170503453145,61719851348.4014702,14373157.30758379319162559782,0.06514807204781906,0.048086504809830954,0.04129753219111045
2016-04-13,41073,1373,14122210,10285.6591405681,0.54073052,23939964.9018914618573778039,44273374.69207008924449148093,20088.8539280174,1.75306330106358,0.0004040871348116606127073607348,1,0.000230503447631641,23685.63826067,5.45962127844033976609785947,13730000,4.82522220632963,3164.81233598243093,13730000,3164.81233598243093,35.00005149,32.791029941795294,5.425237872589129E-7,0.000230503447631641,122.44360308864186,-1.6641821550234377,103859465651.67663247,13511,57129,2967408938.50727472,683997.9908588750068636333514,460679.889231982,106.1883027225343395563323425,15.13,0.00348751716266672833,26318181391.93387576,6066431.546235658771332249939,0.06515617615884742,0.04794637821226848,0.04118661711114865
2016-04-14,33070,1379,9110012,6606.24510514866,0.5477367,24250964.9849618514070014775,44274858.77309922816260305435,20507.7747700226,1.37436603234689,0.0003208689505095664855652487009,1,0.000233466880698183,18827.44027712,4.39558375303054052060047296,13790000,4.84566500628283,3219.50828482794357,13790000,3219.50828482794357,41.40247188,33.137069618974074,5.482288720046743E-7,0.000233466880698183,123.18170594090552,0.8173608564736572,103873255651.67663249,13699,52371,2508866039.57376128,585737.1283488901940141337718,678591.99813196,158.4287570706159265165662287,11.4,0.0026615224399592862,35538541534.16889911,8297072.436545231812197121287,0.0651569185566796,0.04795457438392036,0.04101717908118644
2016-04-15,34760,1383,16076989,11624.7208966016,0.55228676,24489986.48929832819115359336,44342881.7678826138991177865,19749.5207540041,1.89079703441359,0.0004457300302181192215933811312,1,0.000235736582036875,25601.39184596,6.035184609153332233039775,13830000,4.85907364552057,3260.23692956998125,13830000,3260.23692956998125,30.33915925,33.25704857825058,5.473025715955583E-7,0.000235736582036875,120.44699593929641,2.6833982097752194,103887085651.67663247,13540,55367,3424191316.89373524,807207.157284875057501006167,542613.095436949,127.9137564867550116625554944,11.82,0.0027864063996758625,30042859255.05755267,7082200.955402164114741021195,0.06511506312582498,0.047953622552998405,0.0410098948813054
2016-04-16,33133,1374,9796899,7130.20305676856,0.54468351,24145390.05707961914113689393,44329210.43185330547159229072,19799.7508901177,1.44875007761742,0.0003366733180404953010221978998,1,0.000232388817948628,18691.77350142,4.34375914935848133324505176,13740000.0000001,4.82681438626191,3193.022358614171958881794863,13740000.0000001,3193.022358614171958881794863,54.69057722,32.736778178227695,5.37667855055522E-7,0.000232388817948628,123.30697440542386,5.077782173407259,103900825651.67663255,12902,50045,1899793912.24241925,441490.8616120153261082289383,769842.309784686,178.9027443777046749028891108,12.2,0.0028351435789732616,38526758393.17460751,8953187.842382229674688657243,0.06512170098203186,0.0475023916327016,0.041030779729897125
2016-04-17,65828,1387,12027964,8671.92790194665,0.53255532,23601259.81606014389145689753,44317010.34174654805883425868,19868.6789755224,1.51352973277587,0.0003437551179701601459462334518,1,0.000227121483328709,23331.06083074,5.29898514351001046203171466,13869999.9999999,4.87183258176466,3150.174973769171117851667129,13869999.9999999,3150.174973769171117851667129,86.74532392,31.964543814589764,5.290014903565176E-7,0.000227121483328709,116.3121886146162,7.4080919170366455,103914695651.67663245,15415,87371,1197928498.64437614,272075.2975338440773875098566,667042.373298359,151.4996532666257290309272885,51.63999995,0.01172855338773845859356455,58280159197.45094559,13236676.20555836143178801284,0.06515215829470983,0.04692711021754121,0.040710818910724006
2016-04-18,42062,1382,11373940,8230.05788712012,0.52340205,23190257.25136494051547639383,44306775.57429057908836870057,20828.3669901517,1.47508124920609,0.0003291446377469947917369895567,1,0.000223136615643474,23262.03129998,5.19061093727009909642333052,13820000,4.85362459799417,3083.74802819281068,13820000,3083.74802819281068,56.60754274,31.328696173490435,5.193367036820568E-7,0.000223136615643474,109.4655225619384,2.410656421668867,103928515651.67663243,15770,55562,1835948190.37563149,409667.2656971789150197754474,432967.705166472,96.61094841376803468657040373,13.2,0.0029454033264938568,24056551634.45949244,5367897.515765774004111878038,0.06516757361852027,0.046768124660392506,0.04075355365158698
