date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-08-19,5536,23556,34260375379.93303465746407108,0.00130916700154846,0.0004485620495013491497895773656,0.000012,0.000004111579796656632,670.451914,229.718045352680810432804,808.6669106,354.41015595777003,0.00005278795790958225,0.342631649721386,123.14334322517773,-22.86306832682118,99991858334.722336,512121,11735,123650240.937786,42366486.0409604762982596914,10830.8769503934,3711.001237442624840453093252,400.832106,137.337765740077463618916,127100341.012866,43548599.52138901439794135228,0.054636849650757414,0.06285547870272079,0.05205775153231189
2018-08-20,5984,23021,31587847970.58791250787189399,0.00141598596536976,0.0004473159169254992376028104413,0.000012,0.000003790850428170936,879.679865,277.89456607405009811697,476.69963919,326.68430703003924,0.000050359729461459976,0.315904202347578,99.06879207163098,-30.557080013754657,99991857455.042471,621249,18970,209758617.867879,66263628.86308273780883964706,11155.8204148323,3524.170549680424443471181169,113.693,35.916096477503185554,211625913.269369,66853515.32743773667087873828,0.054680725129288996,0.06390022515148222,0.05291888338023746
2018-08-21,5735,23066,33424061814.18205830546971441,0.00144751601246572,0.0004838580490666359100507636993,0.000012,0.000004011214065196488,812.373489,271.550330439128702258886,508.73604035,347.529020859296,0.000051639720702978855,0.334267838766374,71.08295900726888,-25.5582838541319,99991856642.668982,561219,23930,196549583.106672,65700204.35549906301892864733,8338.94481313297,2787.441060278022380638826751,0.09332,0.03119387471367802168,199550949.378272,66703464.57245308489475982573,0.05472748854126812,0.06511692553702847,0.05217453579213652
2018-08-22,5998,23141,31891755760.44900484409998422,0.00141390492874536,0.0004509558332287180014221631953,0.000012,0.000003827322395393676,825.66675,263.34107028390928612275,427.23119106,334.11508038385836,0.000050108883000015935,0.318943532949473,30.80205359050278,-28.427155444372502,99991855817.002232,583962,13054,234046244.536181,74647536.10592585986979338261,18121.1475989682,5779.622836313777637917533759,800,255.1548263595784,236553460.756931,75447196.50524009066555754736,0.05464676111881285,0.0654653121200623,0.05238480793645594
2018-08-23,5748,23318,32596616602.87574003169853504,0.00136101338929994,0.000443680453967117050539780091,0.000012,0.000003911912615601804,765.216168,249.454898438472455897256,259.36698732,339.29999830126627,0.00005002643583221348,0.325992717966817,31.052136405082436,-28.90397361036323,99991855051.786064,562240,12352,385522676.132909,125677585.0304079351945436807,31729.1445588251,10343.47007349343703172630671,400,130.3970871867268,391918393.590608,127762542.3477910531380268547,0.054613138818013156,0.06533680570771946,0.05244267419825287
2018-08-24,5726,23528,32662984152.11822107167131016,0.00184308236161073,0.0006020547419403924293025561983,0.000012,0.00000391987740416052,865.376932,282.68095681904623609372,459.50660944,338.4329513196589,0.00004877120438103441,0.32665645034671,49.985877296273024,-29.160123296413794,99991854186.409132,469527,12515,217606998.752053,71082729.78294658572917429563,17699.655159395,5781.70652672880228806384045,445,145.36212040428595,221511184.319829,72358057.18201114846257791259,0.05461326596160147,0.06530771095230287,0.052401849535455534
2018-08-25,5020,23715,32786141182.8047216541773657,0.00149613209062575,0.0004905639429994460447347158585,0.000012,0.000003934657476353736,624.036695,204.61422062506883869521,1161.16357312,340.1496760763952,0.000048608863853646716,0.327888123029478,50.98369201662495,-26.91091359322531,99991853562.372437,417100,9923,86113495.012473,28235592.24714808716415667909,9014.80027421909,2955.845941399320993351500335,298.277909,97.801783723167443201502,89453863.121076,29330859.27650545235743107833,0.0545697868731196,0.06529294850277143,0.05207933897372489
2018-08-26,4371,23515,32228872105.4076518653689458,0.00136321992523373,0.000439386203078389447117913484,0.000012,0.000003867779761241868,577.259567,186.059405852153675329263,1144.98623864,336.59128393611684,0.000048179562866331276,0.322314980103489,53.62493985860597,-29.110987440750463,99991852985.11287,423453,9535,87330178.835557,28147824.85381669062137295837,9331.50194819067,3007.682864766744642352904248,308.65,99.48251860894187985,88975871.075998,28678256.11555089777182395702,0.05457116760651836,0.06514593356136193,0.051871826001374896
2018-08-27,4633,23872,33766624232.3482749208310433,0.00180046991469504,0.0006080074489920139297247558573,0.000012,0.000004052325078222684,661.681696,223.445777541809851232672,458.41275214,353.21669050658033,0.0000493765035833362,0.337693756518557,67.42673768541304,-25.662148699210825,99991852323.431174,367505,12633,218126245.084205,73659871.09777261399611009218,17423.2427955648,5883.720310369161967728495994,379.999,128.323289783295141443,220107826.23637,74329038.68089358315537331809,0.0545967082753624,0.06598377239283557,0.05190732055101579
2018-08-28,5394,23082,35271420379.99282796174285432,0.0016178989929949,0.0005707024593452093589314348943,0.000012,0.000004232915368508484,913.216615,322.130720367566279771805,13.53449985,285.5586792869423,0.00004973131960010551,0.352742947375707,56.90933126068288,-22.33783165179861,99991851410.214559,564446,15455,7387923640.7585,2606037960.02781723259795376,478064.717851576,168633.9576113006877843340642,500.249,176.459306681750051043,7388490214.396104,2606237814.882651043258605046,0.05463406880107312,0.06668607400828919,0.05217194666435236
