Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-11-01,BCHUSD,421.29,421.29,419.63,419.63,0.0,0.0
2018-10-31,BCHUSD,421.29,421.29,421.29,421.29,0.0,0.0
2018-10-30,BCHUSD,421.91,422.63,420.11,421.29,2.33,984.43
2018-10-28,BCHUSD,440.12,441.88,437.97,440.21,170.65,75048.58
2018-10-27,BCHUSD,443.42,445.21,437.99,440.12,488.62,215599.32
2018-10-26,BCHUSD,445.99,451.7,440.92,443.42,326.12,145524.74
2018-10-25,BCHUSD,449.55,451.09,444.43,445.99,239.74,107223.34
2018-10-24,BCHUSD,450,458.27,447,449.55,444.63,202327.07
2018-10-23,BCHUSD,457.34,458.67,444.49,450,391.25,175823.78
2018-10-22,BCHUSD,456.83,462.19,449,457.34,327.67,148636.11
2018-10-21,BCHUSD,456.13,466.67,454,456.83,406.65,187653.8
2018-10-20,BCHUSD,448.86,459.5,444.37,456.13,431.6,194858.23
2018-10-19,BCHUSD,446.82,453.06,440,448.86,763.52,340673.22
2018-10-18,BCHUSD,461.15,470.13,438.5,446.82,812.24,367892.43
2018-10-17,BCHUSD,471.16,473.53,457.67,461.15,697.74,324466.85
2018-10-16,BCHUSD,468.11,469.85,468.11,469.85,0.0,0.0
2018-10-15,BCHUSD,440.97,521,436.48,468.11,3620.3,1755450.15
2018-10-14,BCHUSD,455.46,457,440.61,440.97,365.49,164335.38
2018-10-13,BCHUSD,447.14,456.71,445.37,455.46,256.31,115563.92
2018-10-12,BCHUSD,433.6,458.14,429.16,447.14,762.69,338832.05
2018-10-11,BCHUSD,516.04,516.04,430,433.6,4049.13,1859389.34
2018-10-10,BCHUSD,521.07,521.34,510,516.04,721.24,372294.49
2018-10-09,BCHUSD,530.86,531.43,516.9,521.07,568.04,296723.03
2018-10-08,BCHUSD,522.93,536.59,518.83,530.86,1313.24,696173.38
2018-10-07,BCHUSD,511.78,526.21,505.26,522.93,779.45,402055.92
2018-10-06,BCHUSD,521.24,523.39,503.53,511.78,923.75,473719.43
2018-10-05,BCHUSD,513.22,530,512.73,521.24,1243.52,645308.07
2018-10-04,BCHUSD,517,533,509.59,513.22,1041.88,544265.53
2018-10-03,BCHUSD,533.16,533.61,506.22,517,1827.18,945028.65
2018-10-02,BCHUSD,532.71,553,523.82,533.16,2682.35,1450475.82
2018-10-01,BCHUSD,532.26,543.89,520.9,532.71,1486.26,792203.12
2018-09-30,BCHUSD,537.31,552.87,516.24,532.26,1141.47,608855.48
2018-09-29,BCHUSD,540.9,560.52,511.88,537.31,1827.44,972840.43
2018-09-28,BCHUSD,567.2,575,531,540.9,3216.98,1760653.98
2018-09-27,BCHUSD,513.92,590.08,512.78,567.2,7886.53,4362678.18
2018-09-26,BCHUSD,445.43,550,434,513.92,6790.89,3420904.36
2018-09-25,BCHUSD,462.94,462.94,425,445.43,2249.75,991515.99
2018-09-24,BCHUSD,490.21,494.17,456.56,462.94,2471.85,1165251.9
2018-09-23,BCHUSD,485.73,508.65,477.28,490.21,1397.18,690703.54
2018-09-22,BCHUSD,502,512.77,469.99,485.73,2228.09,1078430.69
2018-09-21,BCHUSD,455.16,511,449,502,5181.76,2512575.69
2018-09-20,BCHUSD,430,467.96,421.04,455.16,2034.8,894510.5
2018-09-19,BCHUSD,432,445,408.84,430,2779.43,1192375.53
2018-09-18,BCHUSD,419,450,412.28,432,1765.89,765038.49
2018-09-17,BCHUSD,448.3,462.5,408.75,419,2856.16,1235964.76
2018-09-16,BCHUSD,451,451.2,426.56,448.3,1128.93,496529.38
2018-09-15,BCHUSD,449.66,460,443.7,451,1153.26,522564.68
2018-09-14,BCHUSD,462.1,475,440.11,449.66,1900.97,863411.54
2018-09-13,BCHUSD,433,476.34,431.9,462.1,2337.02,1054170.58
2018-09-12,BCHUSD,440.36,440.36,410,433,1337.74,569189.03
